No,eda,No用,大分類,属性,色,パワー,補正,強化,強化補正,オートアクティブ,その他補正項目,その他補正値,スキル名
65,3,"和装体験東峰旭ICONIC","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
66,3,"ユニフォーム東峰旭YELL","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
71,3,"ユニフォーム木下久志ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
72,3,"妖木下久志ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
74,3,"ユニフォーム孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
75,3,"制服孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
76,3,"夏祭り孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
77,3,"1周年孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
78,3,"スパイ孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
79,3,"Xmas2孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
80,3,"中学生孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
81,3,"ハロウィン孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
82,3,"寝正月孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
103,3,"ユニフォーム福永招平ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
104,3,"バーガー福永招平ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
116,3,"ユニフォーム手白球彦ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
142,3,"ユニフォーム茂庭要ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
143,3,"寝正月茂庭要ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
146,3,"ユニフォーム笹谷武仁ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
147,3,"ユニフォーム及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
148,3,"プール掃除及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
149,3,"Xmas及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
150,3,"制服及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
151,3,"路地裏及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
152,3,"バカンス及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
153,3,"2周年及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
154,3,"夏祭り2及川徹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
167,3,"ユニフォーム京谷賢太郎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
168,3,"梅雨京谷賢太郎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
169,3,"水着2京谷賢太郎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
186,3,"ユニフォーム矢巾秀ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
187,3,"キャンプ矢巾秀ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
192,3,"ユニフォーム芳賀良治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
204,3,"ユニフォーム夏瀬伊吹ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
205,3,"ユニフォーム秋宮昇ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
206,3,"ユニフォーム古牧譲ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
207,3,"雪遊び古牧譲ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
213,3,"ユニフォーム百沢雄大ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
215,3,"ユニフォーム照島游児ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
216,3,"制服照島游児ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
217,3,"雪遊び照島游児ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
218,3,"スパイ照島游児ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
219,3,"妖照島游児ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
222,3,"ユニフォーム二岐丈晴ICONIC","ブロック","ツーアタック防御","銅",14,0,0,0,"","","",""
223,3,"制服二岐丈晴ICONIC","ブロック","ツーアタック防御","銅",14,0,0,0,"","","",""
224,3,"ユニフォーム沼尻凛太郎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
226,3,"ユニフォーム東山勝道ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
228,3,"ユニフォーム中島猛ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
229,3,"スパイ中島猛ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
230,3,"ユニフォーム白石優希ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
231,3,"ユニフォーム花山一雅ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
236,3,"ユニフォーム川渡瞬己ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
237,3,"サバゲ2川渡瞬己ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
238,3,"ユニフォーム牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
239,3,"水着牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
240,3,"新年牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
241,3,"制服牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
242,3,"文化祭2牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
243,3,"妖牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
244,3,"ハロウィン牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
245,3,"Xmas3牛島若利ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
253,3,"ユニフォーム五色工ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
254,3,"職業体験五色工ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
255,3,"制服五色工ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
256,3,"バカンス五色工ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
258,3,"サバゲ2五色工ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
262,3,"バカンス白布賢二郎ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
269,3,"ユニフォーム瀬見英太ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
270,3,"雪遊び瀬見英太ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
271,3,"バカンス瀬見英太ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
272,3,"アート2瀬見英太ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
273,3,"文化祭3瀬見英太ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
275,3,"ユニフォーム強羅昌己ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
276,3,"ユニフォーム芦谷洋平ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
279,3,"ユニフォーム七沢健吾ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
282,3,"ユニフォーム千鹿谷栄吉ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
286,3,"ユニフォーム名栗翔太ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
287,3,"ユニフォーム島府典明ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
289,3,"ユニフォーム宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
290,3,"文化祭宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
291,3,"RPG宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
292,3,"カンフー宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
293,3,"新年2宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
294,3,"サバゲ2宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
295,3,"制服宮侑ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
296,3,"ユニフォーム宮治ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
297,3,"RPG宮治ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
298,3,"カンフー宮治ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
300,3,"夏祭り2宮治ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
301,3,"制服宮治ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
322,3,"ユニフォーム銀島結ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
323,3,"Xmas2銀島結ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
324,3,"ユニフォーム木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
325,3,"夏祭り木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
326,3,"Xmas木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
327,3,"制服木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
328,3,"キャンプ木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
330,3,"焼き芋木兎光太郎ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
336,3,"ユニフォーム猿杙大和ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
337,3,"ハロウィン猿杙大和ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
343,3,"ユニフォーム赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
344,3,"夏祭り赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
345,3,"制服赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
346,3,"バーガー赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
347,3,"仮装赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
348,3,"妖赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
349,3,"焼き芋赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
350,3,"Xmas3赤葦京治ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
354,3,"ユニフォーム越後栄ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
356,3,"ユニフォーム丸山一喜ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
359,3,"ユニフォーム星海光来ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
360,3,"文化祭星海光来ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
361,3,"サバゲ星海光来ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
368,3,"ユニフォーム佐久早聖臣ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
369,3,"サバゲ佐久早聖臣ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
375,3,"ユニフォーム大将優ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
376,3,"新年大将優ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
377,3,"カンフー大将優ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
378,3,"妖大将優ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
386,3,"ユニフォーム先島伊澄ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
389,3,"ユニフォーム白峰周ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
1,5,"ユニフォーム日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
2,5,"制服日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
3,6,"夏祭り日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
4,5,"1周年日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
5,5,"王冠日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
6,5,"ジャージ日向翔陽ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
7,6,"遊園地日向翔陽ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
8,5,"ハロウィン日向翔陽ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
9,5,"和装体験日向翔陽ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
20,4,"ユニフォーム月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
21,5,"水着月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
22,5,"職業体験月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
23,5,"1周年月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
25,4,"ジャージ月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
26,5,"2周年月島蛍ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
28,6,"焼き芋月島蛍ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
55,4,"ユニフォーム菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
56,4,"プール掃除菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
57,4,"文化祭菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
58,4,"梅雨菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
59,4,"Xmas2菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
60,4,"夏祭り2菅原考支ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
67,4,"ユニフォーム縁下力ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
68,4,"探偵縁下力ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
69,4,"RPG縁下力ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
70,4,"花火縁下力ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
73,5,"ユニフォーム成田一仁ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
83,6,"ユニフォーム黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
84,6,"制服黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
85,6,"夏祭り黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
86,6,"1周年黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
87,6,"キャンプ黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
88,6,"文化祭2黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
89,6,"中学生黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
90,6,"ハロウィン黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
91,6,"和装体験黒尾鉄朗ICONIC","ブロック","ツーアタック防御","銅",35,0,0,0,"","","",""
92,5,"ユニフォーム灰羽リエーフICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
93,5,"探偵灰羽リエーフICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
94,5,"路地裏灰羽リエーフICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
96,5,"サバゲ2灰羽リエーフICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
106,5,"ユニフォーム犬岡走ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
107,5,"新年犬岡走ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
108,4,"ユニフォーム山本猛虎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
109,4,"新年山本猛虎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
110,4,"和装体験山本猛虎ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
117,5,"ユニフォーム青根高伸ICONIC","ブロック","ツーアタック防御","銅",37,0,0,0,"","","",""
119,5,"プール掃除青根高伸ICONIC","ブロック","ツーアタック防御","銅",36,0,0,0,"","","",""
131,4,"ユニフォーム黄金川貫至ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
133,4,"職業体験黄金川貫至ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
136,4,"ユニフォーム小原豊ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
141,5,"ユニフォーム吹上仁悟ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
144,4,"ユニフォーム鎌先靖志ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
145,4,"甲冑鎌先靖志ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
155,4,"ユニフォーム岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
157,4,"制服岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
158,4,"サバゲ岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
159,4,"バカンス岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
160,4,"路地裏2岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
161,4,"夏祭り2岩泉一ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
162,4,"Xmas3岩泉一ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
163,5,"ユニフォーム金田一勇太郎ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
164,5,"雪遊び金田一勇太郎ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
165,5,"カンフー金田一勇太郎ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
177,6,"ユニフォーム松川一静ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
189,5,"ユニフォーム茶屋和馬ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
190,4,"ユニフォーム玉川弘樹ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
193,5,"ユニフォーム渋谷陸斗ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
194,4,"ユニフォーム池尻隼人ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
195,4,"文化祭2池尻隼人ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
196,4,"遊園地池尻隼人ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
197,4,"ユニフォーム十和田良樹ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
198,5,"ユニフォーム森岳歩ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
199,4,"ユニフォーム唐松拓巳ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
200,4,"ユニフォーム田沢裕樹ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
201,5,"ユニフォーム子安颯真ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
208,4,"ユニフォーム浅虫快人ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
210,5,"ユニフォーム湯川良明ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
211,4,"ユニフォーム稲垣功ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
212,5,"ユニフォーム馬門英治ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
214,4,"職業体験百沢雄大ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
220,5,"ユニフォーム母畑和馬ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
221,5,"アート2母畑和馬ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
225,5,"ユニフォーム飯坂信義ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
232,5,"ユニフォーム鳴子哲平ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
234,5,"ユニフォーム松島剛ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
235,5,"妖松島剛ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
246,5,"ユニフォーム天童覚ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
247,5,"水着天童覚ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
249,5,"制服天童覚ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
250,5,"仮装天童覚ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
252,5,"Xmas3天童覚ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
266,7,"ユニフォーム川西太一ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
267,7,"路地裏川西太一ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
268,7,"寝正月川西太一ICONIC","ブロック","ツーアタック防御","銅",34,0,0,0,"","","",""
277,4,"ユニフォーム仙石伸吾ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
280,5,"ユニフォーム伊勢原裕次ICONIC","ブロック","ツーアタック防御","銅",32,0,0,0,"","","",""
285,4,"ユニフォーム児玉勝ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
302,7,"ユニフォーム角名倫太郎ICONIC","ブロック","ツーアタック防御","銅",37,0,0,0,"","","",""
303,7,"サバゲ角名倫太郎ICONIC","ブロック","ツーアタック防御","銅",37,0,0,0,"","","",""
305,7,"路地裏2角名倫太郎ICONIC","ブロック","ツーアタック防御","銅",37,0,0,0,"","","",""
307,6,"制服角名倫太郎ICONIC","ブロック","ツーアタック防御","銅",37,0,0,0,"","","",""
308,7,"寝正月角名倫太郎ICONIC","ブロック","ツーアタック防御","銅",49,0,0,0,"","","",""
309,4,"ユニフォーム北信介ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
310,4,"Xmas北信介ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
311,4,"スパイ北信介ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
312,4,"新年2北信介ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
314,4,"制服北信介ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
315,4,"ユニフォーム尾白アランICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
316,4,"雪遊び尾白アランICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
317,4,"夏祭り2尾白アランICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
320,6,"ユニフォーム大耳練ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
321,4,"ユニフォーム理石平介ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
331,4,"ユニフォーム木葉秋紀ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
332,4,"探偵木葉秋紀ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
333,4,"梅雨木葉秋紀ICONIC","ブロック","ツーアタック防御","銅",27,0,0,0,"","","",""
335,4,"水着2木葉秋紀ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
340,6,"ユニフォーム尾長渉ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
341,7,"ユニフォーム鷲尾辰生ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
342,7,"ハロウィン鷲尾辰生ICONIC","ブロック","ツーアタック防御","銅",33,0,0,0,"","","",""
351,4,"ユニフォーム姫川葵ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
352,4,"花火姫川葵ICONIC","ブロック","ツーアタック防御","銅",26,0,0,0,"","","",""
357,4,"ユニフォーム舞子侑志ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
358,4,"ユニフォーム寺泊基希ICONIC","ブロック","ツーアタック防御","銅",28,0,0,0,"","","",""
